adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/4GV7v37r43vPkRNowLIFrpWAb20.jpg,"[27, 14, 10749]",516850,ru,Русалка. Озеро мертвых,"An evil Mermaid falls in love with Marina's fiancé Roman and aims to keep him away from Marina in her Kingdom of Death under water. The Mermaid is a young woman who drowned a few centuries ago. Marina only has one week to overcome her fear of the dark water, to remain human in the deathly fight with the monsters and not to become one herself.",8.716,/gGFZ84plg0TPM737j8ccpseh96l.jpg,2018-07-12,The Mermaid: Lake of the Dead,False,6.3,225
False,/8k4RMVFTGQugzNPSnQUYiiuccf9.jpg,[35],209403,en,Bad Words,"A misanthropic man sets out to exact revenge on his estranged father, by finding a loophole and attempting to win the National Spelling Bee as an adult. Figuring it would destroy his father, and everything he's worked so hard for as head of the Spelling Bee Championship Organization, Guy Trilby eventually discovers winning isn't necessary for revenge, and that friendship is a blessing not a curse.",8.321,/9ZOz1GTFsrfGZNziZHupOvqUdub.jpg,2013-09-06,Bad Words,False,6.3,588
False,/kKIPDZzj3lAiQKZsCyTJ8ppQzgS.jpg,[18],13275,en,Annapolis,"Jake Huard, from a shipbuilders family, promised his dying mother he'ld make it to Anapolis Naval Academy. Thanks to tenaciously bugging a Congressman, he's selected despite dubious grades. Once inside, Jake soon proves sub-standard academically. Constantly challenged to his limits, repeatedly made the 'over-cocky' reason for the entire class to suffer, Jake nearly quits, but after facing his utterly un-supportive father's gloating returns just in time. Stubborn Jake finds support withs mates as well as Senor Ali, his lover-to-be, and a discipline he may excel in: the 'brigade' boxing tournament, open to all ranks.",10.122,/hH6YeqFcihbZsz7iWl6MzQVzL8O.jpg,2006-01-27,Annapolis,False,6.3,292
False,/4wjcJ7HCOdAfp32VTNp8fNgSGBd.jpg,"[10751, 14, 16, 12]",13225,en,FernGully: The Last Rainforest,"When a sprite named Crysta shrinks a human boy, Zak, down to her size, he vows to help the magical fairy folk stop a greedy logging company from destroying their home: the pristine rainforest known as FernGully. Zak and his new friends fight to defend FernGully from lumberjacks — and the vengeful spirit they accidentally unleash after chopping down a magic tree.",12.38,/l1tX46iuNJFq2wUmSEivDi7jyWL.jpg,1992-04-10,FernGully: The Last Rainforest,False,6.3,398
False,/6KQ9CWz76m3pT8K0yE08y72nNwD.jpg,"[28, 35]",10074,en,Hot Rod,"For Rod Kimball, performing stunts is a way of life, even though he is rather accident-prone. Poor Rod cannot even get any respect from his stepfather, Frank, who beats him up in weekly sparring matches. When Frank falls ill, Rod devises his most outrageous stunt yet to raise money for Frank's operation -- and then Rod will kick Frank's butt.",9.908,/jRkt03dXCVKnbvcQm3ygU1cjg9Y.jpg,2007-08-03,Hot Rod,False,6.3,666
False,/m0yTFeh8vrsMP0fQDdYGSh4xthX.jpg,"[27, 53]",8922,en,Jeepers Creepers,"A college-age brother and sister get more than they bargained for on their road trip home from spring break. When the bickering siblings witness a creepy truck driver tossing body bags into a sewer near an abandoned church, they investigate. Bad move! Opening a Pandora's Box of unspeakable evil, the pair must flee for their lives -- with a monstrous ""shape"" in hot pursuit.",44.817,/g410Y1U1ELbmJG14Zru3UAimm1G.jpg,2001-07-01,Jeepers Creepers,False,6.3,1905
False,/iAmTmSUzpxrxz1KJwhrXsdMFRfi.jpg,"[27, 35]",75761,en,John Dies at the End,"A new drug promises out-of-body experiences, but users are coming back changed forever, and an otherworldly invasion of Earth is underway.",10.605,/1IsviP0Tb05xUAFWz5b7FJ0qIHP.jpg,2012-01-23,John Dies at the End,False,6.3,473
False,/vcI8kweLIpGv7jb9NWVunOyZ2O7.jpg,[18],9422,en,A Civil Action,"Jan Schlickmann is a cynical lawyer who goes out to 'get rid of' a case, only to find out it is potentially worth millions. The case becomes his obsession, to the extent that he is willing to give up everything—including his career and his clients' goals—in order to continue the case against all odds.",12.058,/6VsitR71vVKiGEDFPT71dKigbGN.jpg,1998-12-25,A Civil Action,False,6.3,274
False,/a9jZrU7LJk6mAUjmkbEmTiC52l0.jpg,"[35, 10751, 18]",425001,en,The War with Grandpa,"Peter is thrilled that his Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his Grandpa, he wants his room back - so he has no choice but to declare war.",36.14,/ltyARDw2EFXZ2H2ERnlEctXPioP.jpg,2020-08-27,The War with Grandpa,False,6.3,402
False,/oMKFQmoVgB69fyXfSMu0lGlHJP2.jpg,[28],447200,en,Skyscraper,"Framed and on the run, a former FBI agent must save his family from a blazing fire in the world's tallest building.",68.913,/3NL1FiTEhU4SWOuWk8lkVCbmnYm.jpg,2018-07-11,Skyscraper,False,6.3,3593
False,/9jvju9GUCzu2EWB0LyUbaa76FKj.jpg,"[14, 10751]",30923,en,Alice in Wonderland,"Alice follows a white rabbit down a rabbit-hole into a whimsical Wonderland, where she meets characters like the delightful Cheshire Cat, the clumsy White Knight, a rude caterpillar, and the hot-tempered Queen of Hearts and can grow ten feet tall or shrink to three inches. But will she ever be able to return home?",9.428,/lOpil36AazWDBaUir5d0AOIhKfd.jpg,1999-02-28,Alice in Wonderland,False,6.3,258
False,/7E5DJaQNG0SIeVjk9ciw8vws6pr.jpg,[35],15596,en,Back to School,"Self-made millionaire Thornton Melon decides to get a better education and enrolls at his son Jason's college. While Jason tries to fit in with his fellow students, Thornton struggles to gain his son's respect, giving way to hilarious antics.",8.841,/dACkRWYFHlu2lWnmAhTrvAjkqei.jpg,1986-06-13,Back to School,False,6.3,274
False,/3e3vgX3w6ZG2avGux7s09HeOjPB.jpg,"[18, 14, 10749, 878]",9294,en,Phenomenon,"An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.",12.417,/5eK1HNf0Kl2vDPOeqf1kX4SKxrw.jpg,1996-07-05,Phenomenon,False,6.3,767
False,/nKMeTdm72LQ756Eq20uTjF1zDXu.jpg,"[12, 18]",399360,en,Alpha,"In the prehistoric past, Keda, a young and inexperienced hunter, struggles to return home after being separated from his tribe when bison hunting goes awry. On his way back he will find an unexpected ally.",76.949,/afdZAIcAQscziqVtsEoh2PwsYTW.jpg,2018-08-17,Alpha,False,6.3,1880
False,/rpKNhD2BqCJZI0DmBeRpIOUyAuo.jpg,[27],27429,en,Shivers,"The residents of a suburban high-rise apartment building are being infected by a strain of parasites that turn them into mindless, sex-crazed fiends out to infect others by the slightest sexual contact.",8.7,/2J2deDlFgtv33pRebgRx6kMSJD8.jpg,1975-10-10,Shivers,False,6.3,356
False,/30Z4DjbSJEW9oZv4hAksiAmji7r.jpg,"[35, 27, 878]",16296,en,Killer Klowns from Outer Space,Aliens disguised as clowns crash land on Earth in a rural town to capture unsuspecting victims in cotton candy cocoons for later consumption.,11.865,/AtMEp5pLpJr4wOMCxVezTKi2okL.jpg,1988-05-27,Killer Klowns from Outer Space,False,6.3,560
False,/rZ820qc7Ixc8Th2ocNzcocFmUgk.jpg,"[10751, 14, 35]",14442,en,Ella Enchanted,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.",44.532,/Awj0FVcrAQvWCCWpezo8vJWigjM.jpg,2004-04-09,Ella Enchanted,False,6.3,1367
False,/rfkn9LRKZNlUjfM7FTx5WBtc3Em.jpg,[27],11449,en,The Amityville Horror,"George Lutz and his wife Kathleen, move into their Long Island dream house with their children only for their lives to be turned into a hellish nightmare. The legacy of a murder committed in the house gradually affects the family and a priest is brought in to try and exorcise the demonic presence from their home.",16.476,/7VMscq0659xKmcXzd86de1DGV4W.jpg,1979-07-26,The Amityville Horror,False,6.3,529
False,/6DWb0FBNxb1Ys06zGuHqhAOBzxT.jpg,"[14, 16, 35, 10751]",11114,en,Pete's Dragon,"Pete, a young orphan, runs away to a Maine fishing town with his best friend a lovable, sometimes invisible dragon named Elliott! When they are taken in by a kind lighthouse keeper, Nora, and her father, Elliott's prank playing lands them in big trouble. Then, when crooked salesmen try to capture Elliott for their own gain, Pete must attempt a daring rescue.",18.17,/noShGNQKAgMqNanJL5EiZlf6LCp.jpg,1977-11-03,Pete's Dragon,False,6.3,497
